epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,66.5023,1.77215,1.41646,1.53009,0.78932,0.26316,0.26433,0.12512,2.25792,1.84956,1.79146,0.005842,0.005842,0.005842
44,68.2263,1.84566,1.46466,1.55648,0.86382,0.2816,0.27467,0.08813,2.28834,1.92434,1.79394,0.005743,0.005743,0.005743
45,69.916,1.63663,1.43838,1.45119,0.86382,0.2816,0.27467,0.08813,2.28834,1.92434,1.79394,0.005644,0.005644,0.005644
46,71.6535,1.75255,1.35829,1.42044,0.81108,0.26018,0.24553,0.07927,2.27959,2.00924,1.8619,0.005545,0.005545,0.005545
47,73.2451,1.69729,1.68516,1.50282,0.81108,0.26018,0.24553,0.07927,2.27959,2.00924,1.8619,0.005446,0.005446,0.005446
48,74.8409,1.68889,1.37236,1.42398,0.7838,0.20747,0.20846,0.08479,2.2595,2.36623,1.87559,0.005347,0.005347,0.005347
49,76.5329,1.71505,1.38166,1.44683,0.7838,0.20747,0.20846,0.08479,2.2595,2.36623,1.87559,0.005248,0.005248,0.005248
50,78.1136,1.72475,1.49604,1.4599,0.7838,0.20747,0.20846,0.08479,2.2595,2.36623,1.87559,0.005149,0.005149,0.005149
51,79.7005,1.75903,1.39096,1.49719,0.76868,0.26316,0.27512,0.11525,2.29384,1.70153,1.77684,0.00505,0.00505,0.00505
52,81.2832,1.66914,1.24797,1.37086,0.76868,0.26316,0.27512,0.11525,2.29384,1.70153,1.77684,0.004951,0.004951,0.004951
53,82.8706,1.65047,1.32444,1.42838,0.7644,0.26316,0.28872,0.13028,2.1542,1.78731,1.79215,0.004852,0.004852,0.004852
54,84.461,1.60755,1.33124,1.43632,0.7644,0.26316,0.28872,0.13028,2.1542,1.78731,1.79215,0.004753,0.004753,0.004753
55,86.0616,1.6408,1.22044,1.46451,0.75862,0.31034,0.28407,0.11783,2.21368,1.58212,1.81241,0.004654,0.004654,0.004654
56,87.6288,1.64979,1.12516,1.411,0.75862,0.31034,0.28407,0.11783,2.21368,1.58212,1.81241,0.004555,0.004555,0.004555
57,89.2272,1.60737,1.15285,1.34435,0.81858,0.23684,0.28975,0.11822,2.31776,1.63889,1.95558,0.004456,0.004456,0.004456
58,90.2158,1.57081,1.14258,1.40477,0.81858,0.23684,0.28975,0.11822,2.31776,1.63889,1.95558,0.004357,0.004357,0.004357
59,91.4279,1.64751,1.18632,1.45282,0.92787,0.21053,0.27389,0.09158,2.39951,2.10725,2.04595,0.004258,0.004258,0.004258
60,92.5069,1.56434,1.10952,1.45782,0.92787,0.21053,0.27389,0.09158,2.39951,2.10725,2.04595,0.004159,0.004159,0.004159
61,93.2814,1.59618,1.0793,1.42618,0.89247,0.28947,0.32111,0.13091,2.32008,1.78578,1.89044,0.00406,0.00406,0.00406
62,95.0684,1.59925,1.08145,1.4052,0.89247,0.28947,0.32111,0.13091,2.32008,1.78578,1.89044,0.003961,0.003961,0.003961
63,96.6507,1.52592,1.01882,1.36966,0.89247,0.28947,0.32111,0.13091,2.32008,1.78578,1.89044,0.003862,0.003862,0.003862
64,98.2452,1.69025,1.10332,1.45797,0.79677,0.31579,0.31977,0.12673,2.385,1.66051,1.93775,0.003763,0.003763,0.003763
65,99.9379,1.53377,1.01756,1.37001,0.79677,0.31579,0.31977,0.12673,2.385,1.66051,1.93775,0.003664,0.003664,0.003664
66,101.538,1.53226,1.09031,1.39702,0.84097,0.31579,0.34204,0.14688,2.24946,1.60985,1.85119,0.003565,0.003565,0.003565
67,103.234,1.50254,0.98267,1.32888,0.84097,0.31579,0.34204,0.14688,2.24946,1.60985,1.85119,0.003466,0.003466,0.003466
68,104.941,1.52792,1.09034,1.39278,0.89873,0.21053,0.32469,0.1419,2.18646,1.65669,1.79504,0.003367,0.003367,0.003367
69,106.542,1.49351,0.96311,1.39984,0.89873,0.21053,0.32469,0.1419,2.18646,1.65669,1.79504,0.003268,0.003268,0.003268
70,108.13,1.60097,1.10762,1.39488,0.40126,0.23684,0.31433,0.14836,2.16052,1.72833,1.80605,0.003169,0.003169,0.003169
71,109.718,1.52361,0.9608,1.30051,0.40126,0.23684,0.31433,0.14836,2.16052,1.72833,1.80605,0.00307,0.00307,0.00307
72,111.305,1.49533,1.03888,1.3603,0.77618,0.35746,0.30634,0.11606,2.23647,1.66296,1.84039,0.002971,0.002971,0.002971
73,112.886,1.49872,0.96649,1.34499,0.77618,0.35746,0.30634,0.11606,2.23647,1.66296,1.84039,0.002872,0.002872,0.002872
74,114.623,1.47176,0.94369,1.37427,0.77899,0.33246,0.30142,0.13175,2.2519,1.62505,1.84301,0.002773,0.002773,0.002773
75,116.322,1.32503,0.85207,1.3038,0.77899,0.33246,0.30142,0.13175,2.2519,1.62505,1.84301,0.002674,0.002674,0.002674
76,117.416,1.39654,0.8811,1.35876,0.77899,0.33246,0.30142,0.13175,2.2519,1.62505,1.84301,0.002575,0.002575,0.002575
77,118.545,1.42131,0.89088,1.29733,0.24045,0.34211,0.27111,0.11194,2.27999,1.77829,1.89815,0.002476,0.002476,0.002476
78,119.308,1.44473,1.01831,1.36741,0.24045,0.34211,0.27111,0.11194,2.27999,1.77829,1.89815,0.002377,0.002377,0.002377
79,121.003,1.35691,0.88475,1.30044,0.75542,0.33006,0.29359,0.13017,2.14019,1.61817,1.74339,0.002278,0.002278,0.002278
80,122.585,1.42449,0.87383,1.34894,0.75542,0.33006,0.29359,0.13017,2.14019,1.61817,1.74339,0.002179,0.002179,0.002179
81,124.17,1.36561,0.86122,1.25989,0.80213,0.26316,0.26788,0.12385,2.17223,1.62062,1.81392,0.00208,0.00208,0.00208
82,125.759,1.42867,0.8573,1.32078,0.80213,0.26316,0.26788,0.12385,2.17223,1.62062,1.81392,0.001981,0.001981,0.001981
83,127.411,1.40201,0.85158,1.26834,0.2497,0.28947,0.25604,0.12461,2.10269,1.65811,1.75061,0.001882,0.001882,0.001882
84,129.063,1.41397,0.85688,1.31777,0.2497,0.28947,0.25604,0.12461,2.10269,1.65811,1.75061,0.001783,0.001783,0.001783
85,130.658,1.33913,0.83596,1.26306,0.26445,0.26316,0.2404,0.11451,2.07122,1.63983,1.76533,0.001684,0.001684,0.001684
86,132.378,1.30865,0.86393,1.27148,0.26445,0.26316,0.2404,0.11451,2.07122,1.63983,1.76533,0.001585,0.001585,0.001585
