epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,63.7396,1.81962,1.67598,1.55968,0.80119,0.23684,0.28341,0.10726,2.1404,1.86877,1.67102,0.0095941,0.0095941,0.0095941
43,65.3167,1.76068,1.66858,1.46835,0.80119,0.23684,0.28341,0.10726,2.1404,1.86877,1.67102,0.0095842,0.0095842,0.0095842
44,66.9217,1.84099,1.63559,1.48068,0.95392,0.25954,0.34243,0.10788,2.19146,2.15044,1.64261,0.0095743,0.0095743,0.0095743
45,68.4983,1.73798,1.8253,1.40199,0.95392,0.25954,0.34243,0.10788,2.19146,2.15044,1.64261,0.0095644,0.0095644,0.0095644
46,70.0931,1.76396,1.56382,1.35775,0.73804,0.23923,0.214,0.07536,1.9802,2.14175,1.62828,0.0095545,0.0095545,0.0095545
47,71.6814,1.79312,1.70128,1.49749,0.73804,0.23923,0.214,0.07536,1.9802,2.14175,1.62828,0.0095446,0.0095446,0.0095446
48,73.2891,1.70797,1.72185,1.42779,0.82041,0.18808,0.26259,0.07781,2.31114,2.34185,1.86358,0.0095347,0.0095347,0.0095347
49,74.9907,1.82895,1.60821,1.55412,0.82041,0.18808,0.26259,0.07781,2.31114,2.34185,1.86358,0.0095248,0.0095248,0.0095248
50,76.5711,1.81809,1.61148,1.51685,0.82041,0.18808,0.26259,0.07781,2.31114,2.34185,1.86358,0.0095149,0.0095149,0.0095149
51,78.1669,1.89668,1.40059,1.57792,0.88524,0.28947,0.32419,0.12636,2.31039,1.87648,1.83693,0.009505,0.009505,0.009505
52,79.8589,1.8378,1.45099,1.41028,0.88524,0.28947,0.32419,0.12636,2.31039,1.87648,1.83693,0.0094951,0.0094951,0.0094951
53,81.5722,1.83051,1.34224,1.47002,0.76378,0.26316,0.24516,0.07992,2.31973,2.17707,1.71955,0.0094852,0.0094852,0.0094852
54,83.1785,1.78869,1.44503,1.47065,0.76378,0.26316,0.24516,0.07992,2.31973,2.17707,1.71955,0.0094753,0.0094753,0.0094753
55,84.1745,1.84688,1.45607,1.53689,0.85089,0.24818,0.31594,0.11699,2.31481,1.90218,1.77981,0.0094654,0.0094654,0.0094654
56,85.3789,1.80658,1.7356,1.44847,0.85089,0.24818,0.31594,0.11699,2.31481,1.90218,1.77981,0.0094555,0.0094555,0.0094555
57,86.5013,1.79524,1.65351,1.38263,0.76688,0.31579,0.31585,0.11742,2.2132,1.7489,1.62271,0.0094456,0.0094456,0.0094456
58,87.2464,1.75782,1.39768,1.41126,0.76688,0.31579,0.31585,0.11742,2.2132,1.7489,1.62271,0.0094357,0.0094357,0.0094357
59,89.0602,1.76865,1.28309,1.42532,0.85537,0.23684,0.4396,0.14806,2.26265,1.93674,1.64942,0.0094258,0.0094258,0.0094258
60,90.7715,1.79084,1.55367,1.52483,0.85537,0.23684,0.4396,0.14806,2.26265,1.93674,1.64942,0.0094159,0.0094159,0.0094159
61,92.4976,1.75908,1.47651,1.42737,0.88255,0.25751,0.28034,0.13039,2.14373,1.5863,1.61403,0.009406,0.009406,0.009406
62,94.1942,1.81734,1.19611,1.41183,0.88255,0.25751,0.28034,0.13039,2.14373,1.5863,1.61403,0.0093961,0.0093961,0.0093961
63,95.7621,1.69718,1.12441,1.36725,0.88255,0.25751,0.28034,0.13039,2.14373,1.5863,1.61403,0.0093862,0.0093862,0.0093862
64,97.3529,1.89658,1.28667,1.50843,0.72719,0.23684,0.25395,0.07502,2.43018,1.76542,1.74271,0.0093763,0.0093763,0.0093763
65,98.9385,1.75338,1.2501,1.38546,0.72719,0.23684,0.25395,0.07502,2.43018,1.76542,1.74271,0.0093664,0.0093664,0.0093664
66,100.541,1.67761,1.3275,1.41793,0.75823,0.1972,0.19817,0.06842,2.47935,2.44594,1.90333,0.0093565,0.0093565,0.0093565
67,102.125,1.67816,1.25642,1.34396,0.75823,0.1972,0.19817,0.06842,2.47935,2.44594,1.90333,0.0093466,0.0093466,0.0093466
68,103.699,1.66894,1.28841,1.42509,0.66809,0.23684,0.18595,0.07305,2.30845,2.31349,1.84256,0.0093367,0.0093367,0.0093367
69,105.284,1.67293,1.10168,1.46528,0.66809,0.23684,0.18595,0.07305,2.30845,2.31349,1.84256,0.0093268,0.0093268,0.0093268
70,106.889,1.81791,1.28176,1.41984,0.23778,0.18421,0.17984,0.06182,2.41378,2.52836,1.98245,0.0093169,0.0093169,0.0093169
71,108.598,1.66488,1.18749,1.31921,0.23778,0.18421,0.17984,0.06182,2.41378,2.52836,1.98245,0.009307,0.009307,0.009307
72,110.207,1.62468,1.23033,1.38845,0.69809,0.15789,0.17075,0.05637,2.28401,2.18877,1.89654,0.0092971,0.0092971,0.0092971
73,111.233,1.58975,1.10466,1.35795,0.69809,0.15789,0.17075,0.05637,2.28401,2.18877,1.89654,0.0092872,0.0092872,0.0092872
74,112.355,1.61304,1.19543,1.40497,0.75582,0.26316,0.21728,0.07432,2.38954,2.26372,1.91533,0.0092773,0.0092773,0.0092773
75,113.199,1.47436,1.01046,1.36485,0.75582,0.26316,0.21728,0.07432,2.38954,2.26372,1.91533,0.0092674,0.0092674,0.0092674
76,114.831,1.6235,1.04053,1.44107,0.75582,0.26316,0.21728,0.07432,2.38954,2.26372,1.91533,0.0092575,0.0092575,0.0092575
77,116.42,1.68583,1.15194,1.38384,0.25584,0.21053,0.21631,0.09071,2.3267,2.08284,1.84633,0.0092476,0.0092476,0.0092476
78,118,1.77731,1.23433,1.53338,0.25584,0.21053,0.21631,0.09071,2.3267,2.08284,1.84633,0.0092377,0.0092377,0.0092377
79,119.585,1.58993,1.04693,1.39694,0.23587,0.15789,0.19947,0.08928,2.29855,2.42323,1.8406,0.0092278,0.0092278,0.0092278
80,121.165,1.59631,1.1407,1.38893,0.23587,0.15789,0.19947,0.08928,2.29855,2.42323,1.8406,0.0092179,0.0092179,0.0092179
81,122.753,1.59505,1.11982,1.32054,0.35523,0.21053,0.21478,0.08264,2.2729,2.13318,1.79897,0.009208,0.009208,0.009208
82,124.337,1.57091,1.02106,1.34493,0.35523,0.21053,0.21478,0.08264,2.2729,2.13318,1.79897,0.0091981,0.0091981,0.0091981
83,125.93,1.59438,1.02732,1.33568,0.28051,0.21053,0.20887,0.09497,2.32525,2.13739,1.83491,0.0091882,0.0091882,0.0091882
84,127.528,1.58906,1.06152,1.33997,0.28051,0.21053,0.20887,0.09497,2.32525,2.13739,1.83491,0.0091783,0.0091783,0.0091783
85,129.1,1.46065,1.025,1.28647,0.28931,0.21053,0.25125,0.09375,2.3218,2.54624,1.8444,0.0091684,0.0091684,0.0091684
86,130.681,1.47009,0.97313,1.30377,0.28931,0.21053,0.25125,0.09375,2.3218,2.54624,1.8444,0.0091585,0.0091585,0.0091585
87,132.298,1.3656,0.92114,1.23495,0.33359,0.21053,0.19936,0.0661,2.67251,2.34027,1.98244,0.0091486,0.0091486,0.0091486
88,134.001,1.50117,0.99046,1.34132,0.33359,0.21053,0.19936,0.0661,2.67251,2.34027,1.98244,0.0091387,0.0091387,0.0091387
89,135.566,1.56464,0.97216,1.30528,0.33359,0.21053,0.19936,0.0661,2.67251,2.34027,1.98244,0.0091288,0.0091288,0.0091288
90,136.809,1.53716,1.10092,1.31635,0.28261,0.23684,0.21686,0.09539,2.36032,2.29112,1.80578,0.0091189,0.0091189,0.0091189
91,138.009,1.52471,0.92349,1.35032,0.28261,0.23684,0.21686,0.09539,2.36032,2.29112,1.80578,0.009109,0.009109,0.009109
92,139.097,1.59829,1.02918,1.26535,0.33887,0.23684,0.2249,0.0883,2.55962,2.05603,1.99999,0.0090991,0.0090991,0.0090991
93,139.844,1.56601,0.87167,1.3645,0.33887,0.23684,0.2249,0.0883,2.55962,2.05603,1.99999,0.0090892,0.0090892,0.0090892
94,141.52,1.59515,0.87669,1.44618,0.27904,0.23684,0.22471,0.0924,2.51406,2.303,1.94421,0.0090793,0.0090793,0.0090793
95,143.11,1.68977,0.96689,1.48711,0.27904,0.23684,0.22471,0.0924,2.51406,2.303,1.94421,0.0090694,0.0090694,0.0090694
96,144.699,1.50562,0.79326,1.33288,0.38335,0.25969,0.23205,0.09595,2.41742,2.69077,1.94315,0.0090595,0.0090595,0.0090595
97,146.412,1.46799,0.88779,1.28735,0.38335,0.25969,0.23205,0.09595,2.41742,2.69077,1.94315,0.0090496,0.0090496,0.0090496
98,148.001,1.46285,0.85769,1.28023,0.26937,0.23684,0.26164,0.08381,2.55649,2.23661,2.07416,0.0090397,0.0090397,0.0090397
99,149.575,1.53998,0.91435,1.39485,0.26937,0.23684,0.26164,0.08381,2.55649,2.23661,2.07416,0.0090298,0.0090298,0.0090298
100,151.209,1.45344,0.88756,1.27874,0.33752,0.26316,0.25519,0.08225,2.58557,2.68794,2.07055,0.0090199,0.0090199,0.0090199
101,152.892,1.53383,0.9173,1.28206,0.33752,0.26316,0.25519,0.08225,2.58557,2.68794,2.07055,0.00901,0.00901,0.00901
102,154.487,1.52296,0.94893,1.28767,0.33752,0.26316,0.25519,0.08225,2.58557,2.68794,2.07055,0.0090001,0.0090001,0.0090001
103,156.068,1.31378,0.83257,1.23096,0.26971,0.21053,0.19932,0.08288,2.5087,2.55026,2.00951,0.0089902,0.0089902,0.0089902
104,157.639,1.40533,0.83787,1.21455,0.26971,0.21053,0.19932,0.08288,2.5087,2.55026,2.00951,0.0089803,0.0089803,0.0089803
105,159.238,1.55645,0.86497,1.31102,0.3229,0.23684,0.29106,0.10105,2.42536,2.02049,1.97453,0.0089704,0.0089704,0.0089704
106,160.818,1.4135,0.83589,1.18777,0.3229,0.23684,0.29106,0.10105,2.42536,2.02049,1.97453,0.0089605,0.0089605,0.0089605
107,162.424,1.33716,0.86502,1.29139,0.34125,0.23684,0.27556,0.09697,2.3773,2.09762,1.98334,0.0089506,0.0089506,0.0089506
108,163.268,1.33469,0.84022,1.19891,0.34125,0.23684,0.27556,0.09697,2.3773,2.09762,1.98334,0.0089407,0.0089407,0.0089407
109,164.446,1.42131,0.79532,1.30158,0.26799,0.23684,0.24099,0.09521,2.40207,2.64465,1.9975,0.0089308,0.0089308,0.0089308
110,165.547,1.27647,0.738,1.22546,0.26799,0.23684,0.24099,0.09521,2.40207,2.64465,1.9975,0.0089209,0.0089209,0.0089209
111,166.466,1.25497,0.76519,1.14903,0.44254,0.23684,0.2969,0.10792,2.28933,2.19904,2.02047,0.008911,0.008911,0.008911
112,168.255,1.28393,0.84417,1.19181,0.44254,0.23684,0.2969,0.10792,2.28933,2.19904,2.02047,0.0089011,0.0089011,0.0089011
113,169.849,1.38483,0.72339,1.25506,0.36057,0.23684,0.26897,0.09566,2.50386,2.37314,2.0557,0.0088912,0.0088912,0.0088912
114,171.535,1.37726,0.75397,1.19566,0.36057,0.23684,0.26897,0.09566,2.50386,2.37314,2.0557,0.0088813,0.0088813,0.0088813
115,173.111,1.37995,0.80288,1.19536,0.36057,0.23684,0.26897,0.09566,2.50386,2.37314,2.0557,0.0088714,0.0088714,0.0088714
116,174.696,1.44787,0.80969,1.33379,0.41085,0.23684,0.29519,0.10817,2.47061,2.40398,2.05113,0.0088615,0.0088615,0.0088615
117,176.286,1.4099,0.77905,1.27313,0.41085,0.23684,0.29519,0.10817,2.47061,2.40398,2.05113,0.0088516,0.0088516,0.0088516
118,177.871,1.29645,0.74648,1.20057,0.23248,0.18421,0.17987,0.08377,2.40912,2.869,2.08892,0.0088417,0.0088417,0.0088417
119,179.584,1.38581,0.77262,1.28445,0.23248,0.18421,0.17987,0.08377,2.40912,2.869,2.08892,0.0088318,0.0088318,0.0088318
120,181.172,1.3389,0.74563,1.23763,0.37347,0.15565,0.21997,0.07131,2.52705,2.98611,2.13391,0.0088219,0.0088219,0.0088219
121,182.754,1.39631,0.76592,1.27687,0.37347,0.15565,0.21997,0.07131,2.52705,2.98611,2.13391,0.008812,0.008812,0.008812
122,184.342,1.24376,0.72416,1.16503,0.39712,0.20371,0.23448,0.1013,2.35269,3.10295,1.97242,0.0088021,0.0088021,0.0088021
123,185.922,1.40166,0.82421,1.22063,0.39712,0.20371,0.23448,0.1013,2.35269,3.10295,1.97242,0.0087922,0.0087922,0.0087922
